"id (N)","email (S)","isadmin (BOOL)","isstudent (BOOL)","isteacher (BOOL)","password (S)","personname (S)"
"24","bayard@awschool.edu","false","true","false","2b678a78b6833e67b143b5f405f75a891993900a4d25e40a6cf94607e206cbde","Bayard Rustin"
"25","troy@awschool.edu","false","true","false","b7b4968b3e9630ae879c07a66b0184b0511608d230eb5aeece8d17e9c87e0bd5","Troy Perry"
"26","harry@awschool.edu","false","true","false","fd0b3299dc2eab7c5cfb8963c48c7f4f6cb9b4a01f93f9bb797c6e0b1cf05b2b","Harry Hay"
"27","alan@awschool.edu","false","false","true","4c8290c2ec32696879771c20455d796bff8e820d6957d015277b2ac8a9f855cb","Alan Turing"
"28","oscar@awschool.edu","false","true","false","8dc19f8f816495c88f7933e62e8ff099b8ebf07ed03fc498e93ee2efe4600f20","Oscar Wilde"
"29","deborah@awschool.edu","false","true","false","3e2db63842beaa3d87cde079127b475312d19ac7d5ffdbcd96f269bfe0fd062f","Deborah Sampson"
"30","ellen@awschool.edu","false","true","false","45fbfb4780847d6e46c0e213a736d9b4f1bde9d7d283739ce2344e074d73a06a","Ellen Degeneres"
"31","johnk@awschool.edu","false","false","true","42d2480673cdca8dd389c56f01775825be800c907cbcb5fb35bdf3e32e02ba4e","John Kemeny"
"32","johnb@awschool.edu","false","false","true","4cd0e1517045ae2a1963e4b62feb82bf40311bdaf5b86041ce4ab1171ee96a15","John Backus"
"33","steve@awschool.edu","false","true","false","8c12328adf669c0762fa7a59833d106f352fc9ea31ff7f1adbfe45fc6f4ec083","Steve Russell"
"34","bowen@awschool.edu","false","true","false","7394a03ebf1632d87d8caa47987a2a70302bf4ca11841b4f5b8bd8b7039b6b1d","Bowen Yang"
"35","grace@awschool.edu","false","false","true","d09ddc448b5e40ad270b6f99ff1d922706b36b0094f559f377ebc9214e7a7212","Grace Hopper"
"36","dennis@awschool.edu","false","true","false","00fd98377cb998cd44b7f38bf0848b3fa82e3de407899f2d6ca807667a17cc66","Dennis Ritchie"
"37","kenneth@awschool.edu","false","false","true","b89ce2bf1177e69a9d1efed6087a0fec58ede0fd164f42fc9e08abc7b6f3b699","Kenneth Thompson"
"38","kath@awschool.edu","false","false","true","55b393d31be9cc071c72538fc305cb73e8d3a9d335315216a168bc1157715208","Katherine Johnson"
"39","margar@awschool.edu","false","false","true","8c1efac80dd026a8a7f11ee1d5ac19b37119176ce1fdfe4ca0dce13c20c30cc3","Margaret Hamilton"
"40","steph@awschool.edu","false","false","true","51ffae155e2d03fda5423799de0759deb46c5fc72e7ce214e69d2a8d832b8d0b","Stephanie Shirley"
"41","megan@awschool.edu","true","false","false","4f8dc6ad3280b84fe6a857ce99f05ab4429919d2ea7a19f7024e4cae9a9e1861","Megan Smith"
"42","frances@awschool.edu","true","false","false","cac9a9a7b243c1305c4c729f3514c90fec53e45729f9d24c7eb25f284398eff2","Frances Allen"
